kode;diskripsi;lokasi;merk;warna;dept;satuan;jmlawal;jmlbeli;jmljual;reorder;hpp;hrgjual1;hrgjual2;hrgjual3;jmlrbeli;jmlrjual;jmldvplus;jmldvmin;noninv;untung;ppn;lsttgl;lstven;lsttgldev;lsttglbl;lsttgljl;boxrol;koderelasi;prosen;batassup;hrgjual4;untung2;untung3;cekpakai;batas1;batas2;barcode;tglrevisi;catrevisi
ACANA-ALB1;ACANA ADLT LARGE BREED 1 KG;;;;27;KG;0;0;90;1;43000;90000;90000;90000;0;0;67;0;FALSE;109.3;0;05-Dec-16;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;109.3;109.3;0;0;0;ACANA-ALB1;03-Feb-16 06:56:29;0
PRIME-ACC8;PRIME CHOICE ADLT CAT CHICKEN 8 KG;;;;24;SAK;0;0;0;1;199125;280000;270000;236000;0;0;0;0;FALSE;40.62;0;  -   -;  -   -;  -   -;  -   -;  -   -;0;PRIME-AC1;0;0;0;35.59;18.52;0;0;0;PRIME-ACC8;03-Feb-16 06:56:29;0
PRIME-AD18;PRIME CHOICE ADLT DOG BEEF 18 KG;;;;24;SAK;0;12;1;1;324370;480000;465000;526000;0;0;0;1;FALSE;47.01;0;01-Jul-16;  -   -;  -   -;10-Oct-11;  -   -;0;PRIME-AD1;0;0;0;42.41;61.1;0;0;0;PRIME-AD18;03-Feb-16 06:56:29;0
PRIME-LNR9;PRIME CHOICE LAMB 9 KG;;;;24;SAK;0;0;0;1;188166.66;280000;270000;301000;0;0;0;0;FALSE;48.8;0;09-Aug-15;  -   -;  -   -;25-Mar-11;  -   -;0;PRIME-L1;0;0;0;43.49;59.96;0;0;0;PRIME-LNR9;03-Feb-16 06:56:29;0
ARTEMIS-OP18;ARTEMIS OSOPURE POWER PUPPY 18 KG;;;;24;SAK;0;0;0;1;542500;735000;720000;620000;0;0;0;0;FALSE;35.48;0;  -   -;  -   -;  -   -;  -   -;  -   -;0;ARTEMIS-OP1;0;0;0;32.72;14.29;0;0;0;ARTEMIS-OP18;03-Feb-16 06:56:29;0
ARTEMIS-OAD13;ARTEMIS OSOPURE ALB 13 KG;;;;24;SAK;0;0;0;1;455000;615000;600000;520000;0;0;0;0;FALSE;35.16;0;  -   -;  -   -;  -   -;  -   -;  -   -;0;ARTEMIS-OAD1;0;0;0;31.87;14.29;0;0;0;ARTEMIS-OAD13;03-Feb-16 06:56:29;0
ARTEMIS-PLB13;ARTEMIS PUPPY M/ L BREED 13 KG;;;;24;SAK;0;0;0;1;525000;715000;700000;637500;0;0;0;0;FALSE;36.19;0;  -   -;  -   -;  -   -;01-Feb-11;  -   -;0;ARTEMIS-PLB1;0;0;0;33.33;21.43;0;0;0;ARTEMIS-PLB13;03-Feb-16 06:56:29;0
ARTEMIS-AD13;ARTEMIS ADLT DOG 13 KG;;;;24;SAK;0;0;0;1;525000;590000;580000;550000;0;0;0;0;FALSE;12.38;0;  -   -;  -   -;  -   -;  -   -;  -   -;0;ARTEMIS-AD1;0;0;0;10.48;4.76;0;0;0;ARTEMIS-AD13;03-Feb-16 06:56:29;0
ARTEMIS-PSB6;ARTEMIS PUPPY SMALL BREED 6,8 KG;;;;24;SAK;0;0;0;1;343000;490000;480000;416500;0;0;0;0;FALSE;42.86;0;20-Apr-13;  -   -;  -   -;18-Dec-10;  -   -;0;ARTEMIS-PSB1;0;0;0;39.94;21.43;0;0;0;ARTEMIS-PSB6;03-Feb-16 06:56:29;0
ARTEMIS-M6;ARTEMIS MAXI DOG 6,8 KG;;;;24;SAK;0;0;0;1;336000;450000;435000;384000;0;0;0;0;FALSE;33.93;0;  -   -;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;29.46;14.29;0;0;0;ARTEMIS-M6;03-Feb-16 06:56:29;0
